CUSIP,h_opt ($),duration (yrs),h_curr ($),Delta ($),Spread (bps),Score,C1 charge ($)
86562MAR1,1000000.0,2.2949190521206217,1650165.0165016502,-650165.0165016502,42.54515993,0.0042545159929999994,8160.000000000001
AP2190092,1000000.0,2.4750770414437944,1650165.0165016502,-650165.0165016502,13.64532662,0.001364532662,2710.0
14913R3A3,1000000.0,2.3341290369803698,1650165.0165016502,-650165.0165016502,21.36944713,0.002136944713,8160.000000000001
46115HBM8,1000000.0,4.0331103228651815,1650165.0165016502,-650165.0165016502,104.1831858,0.01041831858,12610.0
05584KAE8,1000000.0,3.179435629432675,1650165.0165016502,-650165.0165016502,100.1447554,0.01001447554,12610.0
BG2296385,1000000.0,4.489192236981545,1650165.0165016502,-650165.0165016502,113.0466911,0.01130466911,12610.0
AU2697798,1000000.0,3.122656699174352,1650165.0165016502,-650165.0165016502,153.6548955,0.015365489550000002,21680.0
233835AQ0,1000000.0,4.523499583265644,1650165.0165016502,-650165.0165016502,77.76361802,0.007776361801999999,8160.000000000001
AR7150246,1000000.0,2.809860728782982,1650165.0165016502,-650165.0165016502,128.1951058,0.012819510579999999,21680.0
AO1474169,1000000.0,2.275186418696229,1650165.0165016502,-650165.0165016502,46.80589788,0.004680589788,10160.0
830505BB8,1000000.0,3.5043276654298983,1650165.0165016502,-650165.0165016502,96.18701824,0.009618701824,8160.000000000001
35177PAL1,1000000.0,4.585200637589006,1650165.0165016502,-650165.0165016502,84.91007596,0.008491007596,12610.0
66815M2K2,1000000.0,2.3971657319668265,1650165.0165016502,-650165.0165016502,31.46805907,0.0031468059069999998,2710.0
0010EPAF5,1000000.0,5.948529809197753,1650165.0165016502,-650165.0165016502,107.6280579,0.01076280579,15230.0
49306CAB7,1000000.0,2.5809930187329226,1650165.0165016502,-650165.0165016502,107.8397492,0.01078397492,15230.0
AP0442859,1000000.0,2.43015181681775,1650165.0165016502,-650165.0165016502,15.476000049999998,0.0015476000049999999,6570.0
59217GBY4,0.0,1.7881235029585003,1650165.0165016502,-1650165.0165016502,37.26918692,0.0037269186920000003,0.0
742718FG9,0.0,2.0309351704235925,1650165.0165016502,-1650165.0165016502,1.41007833,0.000141007833,0.0
82620KBD4,0.0,2.9267111759133693,1650165.0165016502,-1650165.0165016502,33.6071924,0.00336071924,0.0
961214FT5,0.0,3.654062573391126,1650165.0165016502,-1650165.0165016502,48.2442015,0.0048244201500000005,0.0
EF6184701,0.0,1.4355328607020508,1650165.0165016502,-1650165.0165016502,24.33514794,0.0024335147939999998,0.0
ZI8616628,0.0,1.5291742713501157,1650165.0165016502,-1650165.0165016502,67.22925654,0.006722925653999999,0.0
166756AZ9,0.0,1.9259255701919622,1650165.0165016502,-1650165.0165016502,68.37883728,0.006837883728,0.0
656531AJ9,0.0,3.4073133476100965,1650165.0165016502,-1650165.0165016502,43.4786534,0.00434786534,0.0
59217HDB0,0.0,1.8723493561348263,1650165.0165016502,-1650165.0165016502,36.6883179,0.0036688317900000003,0.0
59217HBB2,0.0,1.7881235029585003,1650165.0165016502,-1650165.0165016502,37.26918692,0.0037269186920000003,0.0
891160TD5,0.0,1.292791977355937,1650165.0165016502,-1650165.0165016502,30.368563219999995,0.0030368563219999997,0.0
59217HEB9,0.0,3.4925417644453853,1650165.0165016502,-1650165.0165016502,52.22120236,0.005222120236,0.0
780082AH6,0.0,1.5744531698246822,1650165.0165016502,-1650165.0165016502,27.91804688,0.002791804688,0.0
00388WAL5,0.0,3.4778313142540584,1650165.0165016502,-1650165.0165016502,62.50386468,0.006250386468,0.0
20271AAL1,0.0,3.1866790870918598,1650165.0165016502,-1650165.0165016502,32.12759611,0.003212759611,0.0
96122XAQ1,0.0,3.0000831202132874,1650165.0165016502,-1650165.0165016502,27.67784686,0.002767784686,0.0
59217HDP9,0.0,3.9572657822042228,1650165.0165016502,-1650165.0165016502,60.52082596,0.0060520825960000005,0.0
6944PM2K2,0.0,3.398038116348891,1650165.0165016502,-1650165.0165016502,51.308024329999995,0.005130802433,0.0
ZJ0581547,0.0,3.094805655559836,1650165.0165016502,-1650165.0165016502,58.51759987,0.005851759987,0.0
YS4456861,0.0,4.279729969021902,1650165.0165016502,-1650165.0165016502,52.932872530000004,0.005293287253,0.0
